id,ncrp_ack,fraud_type,victim_name,state,district,reported_at,network,token,reported_wallet,amount_lost_inr,amount_lost_token,status,priority,risk_score,risk_level,investigator,nearest_exchange,exchange_confidence,hops_to_exchange,traced_to_vasp_inr,held_in_wallets_inr,frozen_inr,wallets_traced,transactions_traced,patterns,syndicate,linked_cases
RAAZ-26-1001,33303092694281,Pig-butchering (Romance-Investment),Pooja Pandey,Tamil Nadu,Chennai,2026-09-03T16:09:00+05:30,BSC,BNB,0xff246f9db5babe918b67d3462fc2084f96492788,55400,0.9008,Monitoring,P3,44,Medium,DSP Kavitha Raman,,,,0,103628,0,26,32,Fan-out distribution;Peel chain;Dusting activity;Funds dormant in layering wallets,,
RAAZ-26-1002,30304082624846,Investment / Trading App Fraud,Deepak Patel,Punjab,SAS Nagar (Mohali),2026-08-04T01:46:00+05:30,TRON,USDT,TifSd2hP6mxjDp9zH7AVCUmCJFVignpVnV,6421100,72636.88,Closed,P1,60,High,Insp. Gurpreet Sandhu,Pinecrest P2P,0.88,4,20244962,2496312,1950264,20,23,Fan-out distribution;Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1003,23309062620200,Task-based Part-time Job Fraud,Anil Joshi,Tamil Nadu,Madurai,2026-06-09T17:29:00+05:30,TRON,USDT,T3WPitheEtDUAYQy4fqzMYJXbj4KBWSWGv,148700,1682.13,KYC Received,P2,71,High,Meera Nair,Zentra Global,0.82,4,689902,27656,7709,25,31,Fan-out distribution;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1005;RAAZ-26-1011;RAAZ-26-1023;RAAZ-26-1039;RAAZ-26-1050;RAAZ-26-1054;RAAZ-26-1055
RAAZ-26-1004,30307082695047,Task-based Part-time Job Fraud,Meenakshi Banerjee,Punjab,SAS Nagar (Mohali),2026-08-07T13:29:00+05:30,TRON,USDT,Tg9wJGCu9kpGVEbEC7S9VaQt28djcny3vb,12909300,146032.81,KYC Received,P1,67,High,Insp. Gurpreet Sandhu,Pinecrest P2P,0.88,4,42006053,1312725,2285094,22,29,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
RAAZ-26-1005,22726082699589,Investment / Trading App Fraud,Meenakshi Gill,Maharashtra,Mumbai,2026-08-26T14:10:00+05:30,TRON,USDT,TyyTgFRjPPqVqpGykUZcSxYp45cr7RwVJR,465800,5269.23,KYC Received,P2,78,High,Insp. Priya Deshmukh,Zentra Global,0.81,5,1220509,225044,44852,28,34,Fan-out distribution;Peel chain;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1003;RAAZ-26-1011;RAAZ-26-1023;RAAZ-26-1039;RAAZ-26-1050;RAAZ-26-1054;RAAZ-26-1055
RAAZ-26-1006,23626072612395,Investment / Trading App Fraud,Nandini D'Souza,Telangana,Rangareddy,2026-07-26T16:54:00+05:30,ETH,USDC,0x40c28c9a0d7004b3fdf603555eab1204ea491fe1,2884000,32642.9,Monitoring,P1,60,High,SI Farhan Qureshi,,,,0,8564005,0,17,23,Mixer / tumbler usage;Fan-in from unrelated sources;Dusting activity;Funds dormant in layering wallets,,
RAAZ-26-1007,30311092688872,Task-based Part-time Job Fraud,Nikhil Rao,Punjab,SAS Nagar (Mohali),2026-09-11T21:42:00+05:30,TRON,USDT,TW3uAiAxQsD4GmrBq4VZ2x5W8ZUX87fCdQ,50200,567.87,Exchange Identified,P2,73,High,Insp. Gurpreet Sandhu,Halcyon Swap,0.83,5,106762,23971,0,21,28,Peel chain;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate A,RAAZ-26-1009;RAAZ-26-1037;RAAZ-26-1048;RAAZ-26-1059
RAAZ-26-1008,12107082618580,Task-based Part-time Job Fraud,Ritu Rao,Odisha,Khordha,2026-08-07T13:31:00+05:30,BSC,BNB,0x06368639d1c782dd1341375b40ed345ec260ef27,8456400,137.5024,Closed,P1,61,High,Insp. Priya Deshmukh,Zentra Global,0.86,3,8134918,324553,116166,24,33,Fan-out distribution;Rapid layering (high velocity);Dusting activity,,
RAAZ-26-1009,10913062667987,Ponzi / MLM Token Scheme,Abdul Saxena,Uttar Pradesh,Varanasi,2026-06-13T23:32:00+05:30,TRON,USDT,TMyQZLqUYXrrPHfz7NrX8HrMo3ws5M2GTg,2603700,29453.62,Closed,P1,70,High,Insp. Rohit Verma,Quasar Exchange,0.81,5,8290866,267015,820714,24,26,Fan-out distribution;Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate A,RAAZ-26-1007;RAAZ-26-1037;RAAZ-26-1048;RAAZ-26-1059
RAAZ-26-1010,13326072621511,Digital Arrest Scam,Pranav Agarwal,Tamil Nadu,Coimbatore,2026-07-26T05:01:00+05:30,ETH,USDT,0x6c7ffc768706c08d961a247d15efcab1e8d36dbe,8010100,90611.99,Closed,P1,69,High,DSP Kavitha Raman,Tarang Digital Assets,0.82,4,16816909,1858619,3203902,22,25,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate D,RAAZ-26-1012;RAAZ-26-1013;RAAZ-26-1014
RAAZ-26-1011,33314082630045,Digital Arrest Scam,Swati Das,Tamil Nadu,Coimbatore,2026-08-14T16:37:00+05:30,TRON,USDT,TJk3WL8SyaFGTecs3bkg8JuRFBSB31d3zg,4427300,50082.58,Notice Sent,P1,64,High,DSP Kavitha Raman,Lotus Chain Exchange,0.85,4,8823185,512306,0,13,13,Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate B,RAAZ-26-1003;RAAZ-26-1005;RAAZ-26-1023;RAAZ-26-1039;RAAZ-26-1050;RAAZ-26-1054;RAAZ-26-1055
RAAZ-26-1012,23311092615056,Investment / Trading App Fraud,Rekha Patel,Tamil Nadu,Chennai,2026-09-11T06:50:00+05:30,ETH,ETH,0xe428c7ef4a63114041287a7cef5b76d5722d21cc,1125400,3.29064,Exchange Identified,P2,54,Medium,DSP Kavitha Raman,Orbitra Pro,0.83,4,1064772,60628,0,24,29,Fan-out distribution;Consolidation before cash-out;Cross-case linkage,Syndicate D,RAAZ-26-1010;RAAZ-26-1013;RAAZ-26-1014
RAAZ-26-1013,10922092611266,Fake Crypto Exchange / Wallet,Neha Joshi,Uttar Pradesh,Lucknow,2026-09-22T19:50:00+05:30,ETH,USDT,0xaca94354f355772354821efbd41c2fca055f2ddd,47500,537.33,Tracing,P2,64,High,Insp. Rohit Verma,Orbitra Pro,0.87,4,124391,9158,0,29,40,Fan-out distribution;Peel chain;Fan-in from unrelated sources;Consolidation before cash-out;Dusting activity;Cross-case linkage,Syndicate D,RAAZ-26-1010;RAAZ-26-1012;RAAZ-26-1014
RAAZ-26-1014,30325082644923,Fake Crypto Exchange / Wallet,Manoj Pandey,Punjab,Ludhiana,2026-08-25T05:04:00+05:30,ETH,ETH,0xdad8be477789806118abf047c0ce6bca0c06e87c,68800,0.20117,KYC Received,P2,62,High,Insp. Gurpreet Sandhu,Tarang Digital Assets,0.83,4,214448,13498,32505,18,22,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out;Cross-case linkage,Syndicate D,RAAZ-26-1010;RAAZ-26-1012;RAAZ-26-1013
RAAZ-26-1015,30812092630918,Investment / Trading App Fraud,Karthik Das,Rajasthan,Jodhpur,2026-09-12T13:11:00+05:30,TRON,USDT,T9zeWawhUNEzQq7xDU7oes4P5N3FXoDUr2,142700,1614.25,Monitoring,P3,51,Medium,SI Arjun Rathore,,,,0,518643,0,12,14,Rapid layering (high velocity);Fan-in from unrelated sources;Dusting activity;Funds dormant in layering wallets,,
RAAZ-26-1016,10914092643802,Ponzi / MLM Token Scheme,Vivaan Yadav,Uttar Pradesh,Lucknow,2026-09-14T15:09:00+05:30,TRON,USDT,TMVk6tMpAFCSnrivARfWexHQPuHzGRFPBw,45900,519.23,Notice Sent,P3,54,Medium,Insp. Rohit Verma,NovaX Exchange,0.78,6,165727,14505,0,22,23,Fan-out distribution;Rapid layering (high velocity);Fan-in from unrelated sources;Consolidation before cash-out,,
